"No.","Time","Source","Destination","Protocol","Length","Info"
"25","0.261886","74.125.12.169","10.0.18.164","UDP","70","443  >  65459 Len=28"
"26","0.262841","74.125.12.169","10.0.18.164","UDP","163","443  >  65459 Len=121"
"27","0.263036","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"28","0.267136","74.125.12.169","10.0.18.164","UDP","1288","443  >  65459 Len=1246"
"29","0.279939","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"30","0.292736","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"31","0.320177","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"32","0.320922","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"33","0.339964","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"34","0.345767","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"35","0.360056","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"36","0.372260","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"37","0.398775","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"38","0.399055","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"39","0.425356","204.79.197.200","10.0.18.164","SSL","1514","[TCP Previous segment not captured] , Continuation Data"
"40","0.425423","10.0.18.164","204.79.197.200","TCP","66","[TCP Dup ACK 23#1] 9605  >  443 [ACK] Seq=1 Ack=8761 Win=1024 Len=0 SLE=10221 SRE=11681"
"41","0.456487","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"42","0.456807","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"43","0.482887","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"44","0.483076","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"45","0.509235","74.125.12.169","10.0.18.164","UDP","67","443  >  65459 Len=25"
"46","0.510352","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"47","0.536955","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"48","0.537233","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"49","0.563409","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"50","0.580229","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"51","0.589943","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"52","0.600855","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"53","0.617336","204.79.197.200","10.0.18.164","TCP","1514","[TCP Retransmission] 443  >  9605 [PSH, ACK] Seq=8761 Ack=1 Win=16385 Len=1460"
"54","0.617449","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=11681 Win=1024 Len=0"
"55","0.647658","204.79.197.200","10.0.18.164","SSL","1514","[TCP Previous segment not captured] , Continuation Data"
"56","0.647711","10.0.18.164","204.79.197.200","TCP","66","[TCP Dup ACK 54#1] 9605  >  443 [ACK] Seq=1 Ack=11681 Win=1024 Len=0 SLE=13141 SRE=14601"
"57","0.678768","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"58","0.699975","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"59","0.705167","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"60","0.720195","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"61","0.731742","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"62","0.758311","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"63","0.758594","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"64","0.784823","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"65","0.800050","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"66","0.811347","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"67","0.835834","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"68","0.837705","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"69","0.851863","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"70","0.864295","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"71","0.864334","10.0.18.164","204.79.197.200","TCP","66","[TCP Dup ACK 54#2] 9605  >  443 [ACK] Seq=1 Ack=11681 Win=1024 Len=0 SLE=13141 SRE=16061"
"72","0.895484","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"73","0.895539","10.0.18.164","204.79.197.200","TCP","66","[TCP Dup ACK 54#3] 9605  >  443 [ACK] Seq=1 Ack=11681 Win=1024 Len=0 SLE=13141 SRE=17521"
"74","0.926580","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"75","0.940221","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"76","0.953094","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"77","0.979587","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"78","0.979950","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"79","1.006115","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"80","1.020183","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"81","1.032564","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"82","1.060153","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"83","1.060175","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"84","1.079784","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"85","1.086266","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"86","1.100167","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"87","1.112188","204.79.197.200","10.0.18.164","SSL","1514","[TCP Previous segment not captured] , Continuation Data"
"88","1.112255","10.0.18.164","204.79.197.200","TCP","74","[TCP Dup ACK 54#4] 9605  >  443 [ACK] Seq=1 Ack=11681 Win=1024 Len=0 SLE=27741 SRE=29201 SLE=13141 SRE=17521"
"89","1.143249","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"90","1.160278","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"91","1.170119","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"92","1.170182","10.0.18.164","204.79.197.200","TCP","74","[TCP Dup ACK 54#5] 9605  >  443 [ACK] Seq=1 Ack=11681 Win=1024 Len=0 SLE=27741 SRE=30661 SLE=13141 SRE=17521"
"93","1.200201","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"94","1.200817","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"95","1.201046","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"96","1.227450","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"97","1.227707","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"98","1.253907","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"99","1.254187","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"100","1.270250","Routerbo_3c:02:a7","Broadcast","ARP","60","Who has 10.0.18.124? Tell 10.0.18.1"
"101","1.280431","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"102","1.280698","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"103","1.307873","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"104","1.320248","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"105","1.333793","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"106","1.360118","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"107","1.360292","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"108","1.380692","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"109","1.386359","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"110","1.400264","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"111","1.413353","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"112","1.413658","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"113","1.439418","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"114","1.439690","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"115","1.451151","10.0.18.164","172.217.194.139","TCP","55","9620  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]"
"116","1.465637","74.125.12.169","10.0.18.164","UDP","67","443  >  65459 Len=25"
"117","1.466805","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"118","1.466997","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"119","1.495968","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"120","1.519804","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"121","1.519871","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"122","1.539902","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"123","1.546429","13.107.6.254","10.0.18.164","SSL","1514","Continuation Data"
"124","1.546499","10.0.18.164","13.107.6.254","TCP","66","[TCP ACKed unseen segment] 9637  >  443 [ACK] Seq=1 Ack=3191 Win=1024 Len=0 SLE=1073 SRE=1461"
"125","1.577605","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"126","1.577888","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"127","1.604025","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"128","1.604172","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"129","1.630651","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"130","1.630994","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"131","1.659187","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"132","1.659337","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"133","1.681643","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"134","1.683206","74.125.12.169","10.0.18.164","UDP","292","443  >  65459 Len=250"
"135","1.688943","172.217.194.139","10.0.18.164","TCP","66","443  >  9620 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2"
"136","1.690145","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"137","1.700206","10.0.18.164","74.125.12.169","UDP","79","65459  >  443 Len=37"
"138","1.703443","10.0.18.164","74.125.12.169","UDP","910","65459  >  443 Len=868"
"139","1.716670","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"140","1.739963","10.0.18.164","74.125.12.169","UDP","79","65459  >  443 Len=37"
"141","1.743101","74.125.12.169","10.0.18.164","UDP","67","443  >  65459 Len=25"
"142","1.743752","74.125.12.169","10.0.18.164","UDP","70","443  >  65459 Len=28"
"143","1.744940","74.125.12.169","10.0.18.164","UDP","163","443  >  65459 Len=121"
"144","1.745108","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"145","1.748355","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"146","1.770157","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"147","1.776878","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"148","1.800160","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"149","1.802914","74.125.12.169","10.0.18.164","UDP","67","443  >  65459 Len=25"
"150","1.803196","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"151","1.820070","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"152","1.828853","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"153","1.839844","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"154","1.857019","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"155","1.879906","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"156","1.884382","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"157","1.900044","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"158","1.908404","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"159","1.920005","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"160","1.935140","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"161","1.960187","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"162","1.961364","204.79.197.200","10.0.18.164","TCP","1514","[TCP Retransmission] 443  >  9605 [ACK] Seq=11681 Ack=1 Win=16385 Len=1460"
"163","1.961413","10.0.18.164","204.79.197.200","TCP","66","9605  >  443 [ACK] Seq=1 Ack=17521 Win=1024 Len=0 SLE=27741 SRE=30661"
"164","1.980083","10.0.18.164","172.217.194.139","TCP","55","9626  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"165","1.992587","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"166","2.019032","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"167","2.019205","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"168","2.019323","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"169","2.045537","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"170","2.060334","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"171","2.072119","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"172","2.072169","10.0.18.164","204.79.197.200","TCP","66","[TCP Dup ACK 163#1] 9605  >  443 [ACK] Seq=1 Ack=17521 Win=1024 Len=0 SLE=27741 SRE=32121"
"173","2.089451","VMware_ef:5e:64","Broadcast","ARP","60","Who has 192.168.18.1? Tell 192.168.18.2"
"174","2.103270","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"175","2.103310","10.0.18.164","204.79.197.200","TCP","66","[TCP Dup ACK 163#2] 9605  >  443 [ACK] Seq=1 Ack=17521 Win=1024 Len=0 SLE=27741 SRE=33581"
"176","2.134426","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"177","2.160245","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"178","2.160581","172.217.194.139","10.0.18.164","TCP","66","443  >  9626 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2"
"179","2.161765","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"180","2.180112","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"181","2.188423","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"182","2.191855","Routerbo_3c:02:a7","Broadcast","ARP","60","Who has 10.0.18.124? Tell 10.0.18.1"
"183","2.200163","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"184","2.215023","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"185","2.240420","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"186","2.241347","10.0.18.166","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"187","2.241729","204.79.197.200","10.0.18.164","TCP","1514","[TCP Retransmission] 443  >  9605 [ACK] Seq=17521 Ack=1 Win=16385 Len=1460"
"188","2.241781","10.0.18.164","204.79.197.200","TCP","66","9605  >  443 [ACK] Seq=1 Ack=18981 Win=1024 Len=0 SLE=27741 SRE=33581"
"189","2.242100","10.0.18.166","224.0.0.251","MDNS","399","Standard query response 0x0000 PTR B860H-V2.1-5751db02b1ce889cfacd085fad78b202._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 5751db02-b1ce-889c-facd-085fad78b202.local A, cache flush 10.0.18.166"
"190","2.272660","204.79.197.200","10.0.18.164","TCP","1514","[TCP Retransmission] 443  >  9605 [ACK] Seq=18981 Ack=1 Win=16385 Len=1460"
"191","2.272726","10.0.18.164","204.79.197.200","TCP","66","9605  >  443 [ACK] Seq=1 Ack=20441 Win=1024 Len=0 SLE=27741 SRE=33581"
"192","2.303794","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"193","2.319905","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"194","2.330299","204.79.197.200","10.0.18.164","TCP","1514","[TCP Retransmission] 443  >  9605 [ACK] Seq=20441 Ack=1 Win=16385 Len=1460"
"195","2.330365","10.0.18.164","204.79.197.200","TCP","66","9605  >  443 [ACK] Seq=1 Ack=21901 Win=1024 Len=0 SLE=27741 SRE=33581"
"196","2.361385","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"197","2.377199","10.0.18.166","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1 "
"198","2.380704","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"199","2.387881","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"200","2.400301","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"201","2.414446","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"202","2.420298","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"203","2.440923","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"204","2.459918","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"205","2.467705","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"206","2.477367","10.0.18.166","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"207","2.480821","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"208","2.493855","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"209","2.519866","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"210","2.520456","204.79.197.200","10.0.18.164","TCP","1514","[TCP Retransmission] 443  >  9605 [ACK] Seq=21901 Ack=1 Win=16385 Len=1460"
"211","2.520515","10.0.18.164","204.79.197.200","TCP","66","9605  >  443 [ACK] Seq=1 Ack=23361 Win=1024 Len=0 SLE=27741 SRE=33581"
"212","2.551619","204.79.197.200","10.0.18.164","TCP","1514","[TCP Retransmission] 443  >  9605 [ACK] Seq=23361 Ack=1 Win=16385 Len=1460"
"213","2.551732","10.0.18.164","204.79.197.200","TCP","66","9605  >  443 [ACK] Seq=1 Ack=24821 Win=1024 Len=0 SLE=27741 SRE=33581"
"214","2.577455","10.0.18.166","239.255.255.250","SSDP","425","NOTIFY * HTTP/1.1 "
"215","2.582707","204.79.197.200","10.0.18.164","TCP","1514","[TCP Retransmission] 443  >  9605 [PSH, ACK] Seq=24821 Ack=1 Win=16385 Len=1460"
"216","2.582752","10.0.18.164","204.79.197.200","TCP","66","9605  >  443 [ACK] Seq=1 Ack=26281 Win=1024 Len=0 SLE=27741 SRE=33581"
"217","2.596570","10.0.18.164","20.198.162.78","TLSv1.2","98","Application Data"
"218","2.613884","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"219","2.614087","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"220","2.640405","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"221","2.640757","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"222","2.666899","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"223","2.667208","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"224","2.678936","10.0.18.166","239.255.255.250","SSDP","423","NOTIFY * HTTP/1.1 "
"225","2.693133","74.125.12.169","10.0.18.164","UDP","67","443  >  65459 Len=25"
"226","2.694245","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"227","2.720146","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"228","2.720881","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"229","2.739931","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"230","2.747371","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"231","2.760037","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"232","2.773948","204.79.197.200","10.0.18.164","TCP","1514","[TCP Retransmission] 443  >  9605 [PSH, ACK] Seq=26281 Ack=1 Win=16385 Len=1460"
"233","2.774032","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=33581 Win=1024 Len=0"
"234","2.778775","10.0.18.166","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"235","2.800248","10.0.18.164","74.125.12.169","TCP","55","9627  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1 [TCP segment of a reassembled PDU]"
"236","2.806211","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"237","2.820250","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"238","2.831321","20.198.162.78","10.0.18.164","TLSv1.2","229","Application Data"
"239","2.835896","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"240","2.860077","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"241","2.862301","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"242","2.879713","10.0.18.164","20.198.162.78","TCP","54","8986  >  443 [ACK] Seq=45 Ack=176 Win=517 Len=0"
"243","2.879847","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"244","2.882320","10.0.18.166","239.255.255.250","SSDP","433","NOTIFY * HTTP/1.1 "
"245","2.888939","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"246","2.900590","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"247","2.915361","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"248","2.939997","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"249","2.941787","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"250","2.960142","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"251","2.968616","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"252","2.968675","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=35041 Win=1024 Len=0"
"253","2.999663","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"254","2.999750","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=36501 Win=1024 Len=0"
"255","3.032393","204.79.197.200","10.0.18.164","TCP","1514","443  >  9605 [ACK] Seq=36501 Ack=1 Win=16385 Len=1460"
"256","3.032440","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=37961 Win=1024 Len=0"
"257","3.061549","74.125.12.169","10.0.18.164","TCP","66","443  >  9627 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2"
"258","3.062724","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"259","3.062885","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"260","3.089409","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"261","3.089784","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"262","3.113426","VMware_ef:5e:64","Broadcast","ARP","60","Who has 192.168.18.1? Tell 192.168.18.2"
"263","3.115866","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"264","3.116183","10.0.18.164","74.125.12.169","UDP","78","65459  >  443 Len=36"
"265","3.142372","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"266","3.142569","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"267","3.168838","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"268","3.179968","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
"269","3.195378","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"270","3.195426","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=39421 Win=1024 Len=0"
"271","3.215880","Routerbo_3c:02:a7","Broadcast","ARP","60","Who has 10.0.18.124? Tell 10.0.18.1"
"272","3.226803","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"273","3.240117","10.0.18.164","74.125.12.169","UDP","77","65459  >  443 Len=35"
